{2013/01/24 22:48:56} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 22:48:57} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 22:49:49} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 22:49:50} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 22:50:23} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 22:50:24} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:05:51} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:05:52} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:18:18} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:18:20} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:18:46} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:18:47} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:27:23} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:27:25} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:27:27} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:27:28} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:31:34} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
{2013/01/24 23:31:35} [Error] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - error [HTTP 401] - UNAUTHORIZED  
{2013/01/24 23:32:22} [Info] PagSeguroPaymentService.Register(PagSeguroPaymentRequest(Reference=REF1234,     SenderEmail=comprador@uol.com.br)) - begin 
